Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-22 09:53:56.539 -0600,"Success",0:00:00,0,3,0,"20160622_095356.539/LogFile.txt","","",1
2016-06-22 10:00:50.782 -0600,"Failure",0:00:00,2,0,0,"20160622_100050.782/LogFile.txt","","SenseTalk Compiler Exception -- in log_success:\nSyntax Error at line 7: Syntax Error - can't understand ""ifend"" at or near character 118",2
2016-06-22 10:01:07.268 -0600,"Success",0:00:00,0,0,0,"20160622_100107.268/LogFile.txt","","",3
2016-06-22 10:13:42.807 -0600,"Success",0:00:00,0,3,0,"20160622_101342.807/LogFile.txt","","",1
2016-06-22 10:13:57.769 -0600,"Success",0:00:00,0,2,0,"20160622_101357.769/LogFile.txt","","",1
2016-06-22 10:22:46.672 -0600,"Success",0:00:00,0,1,0,"20160622_102246.672/LogFile.txt","","",2
2016-06-22 10:24:43.683 -0600,"Success",0:00:00,0,0,0,"20160622_102443.683/LogFile.txt","","",3
2016-06-22 10:25:44.075 -0600,"Success",0:00:00,0,0,0,"20160622_102544.075/LogFile.txt","","",3
2016-06-22 10:28:42.067 -0600,"Success",0:00:03,0,0,0,"20160622_102842.067/LogFile.txt","","",6
2016-06-22 10:29:17.112 -0600,"Success",0:00:06,0,0,0,"20160622_102917.112/LogFile.txt","","",6
2016-06-22 10:29:57.178 -0600,"Running",0:00:00,0,0,0,"20160622_102957.178/LogFile.txt","","",0
2016-06-22 10:30:16.369 -0600,"Success",0:00:06,0,0,0,"20160622_103016.369/LogFile.txt","","",6
2016-06-22 10:31:29.003 -0600,"Running",0:00:00,0,0,0,"20160622_103129.003/LogFile.txt","","",0
2016-06-22 10:32:05.299 -0600,"Success",0:00:14,0,0,0,"20160622_103205.299/LogFile.txt","","",6
2016-06-22 10:32:46.299 -0600,"Success",0:00:13,0,0,0,"20160622_103246.299/LogFile.txt","","",6
