Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-22 09:56:02.111 -0600,"Failure",0:00:00,1,0,0,"20160622_095602.111/LogFile.txt","","Connection Failed -- Unable to connect to Server:10.1.11.128 on port:0\nPassword Required",0
2016-06-22 09:56:44.194 -0600,"Success",0:00:00,0,0,0,"20160622_095644.194/LogFile.txt","","",1
2016-06-22 09:57:44.977 -0600,"Failure",0:00:00,1,0,0,"20160622_095744.977/LogFile.txt","","STUnknownMessage -- ERROR: 'connectioninfo' was called as a Command, but is only available as a Function",0
2016-06-22 09:57:56.161 -0600,"Success",0:00:00,0,0,0,"20160622_095756.161/LogFile.txt","","",1
2016-06-22 09:58:06.748 -0600,"Success",0:00:00,0,0,0,"20160622_095806.748/LogFile.txt","","",1
2016-06-22 09:58:33.730 -0600,"Success",0:00:00,0,0,0,"20160622_095833.730/LogFile.txt","","",1
2016-06-22 09:59:30.861 -0600,"Success",0:00:00,0,0,0,"20160622_095930.861/LogFile.txt","","",1
2016-06-22 09:59:40.114 -0600,"Success",0:00:00,0,0,0,"20160622_095940.114/LogFile.txt","","",1
2016-06-22 10:00:06.582 -0600,"Success",0:00:00,0,0,0,"20160622_100006.582/LogFile.txt","","",1
2016-06-22 10:21:22.076 -0600,"Success",0:00:00,0,0,0,"20160622_102122.076/LogFile.txt","","",1
